num,Number,Fruit,x,y,z
0,0,Apple Braeburn,-41.04396709,-107.6936478,-88.55470634
1,0,Apple Braeburn,-34.76576279,57.61867038,-22.86632025
2,0,Apple Braeburn,-36.50867642,51.98408519,-25.25033871
3,0,Apple Braeburn,-43.75431215,52.57558237,-27.39451531
4,0,Apple Braeburn,-43.81941943,45.8010298,-23.05385304
5,0,Apple Braeburn,-50.48519941,42.70890032,-20.48337225
6,0,Apple Braeburn,-49.96592888,37.39029702,-14.72537013
7,0,Apple Braeburn,-35.9950715,65.76747561,2.178646759
8,0,Apple Braeburn,-35.07293568,55.07441711,8.157612085
9,0,Apple Braeburn,-42.30891033,60.78099259,8.156436332
10,0,Apple Braeburn,-45.06383295,61.06150915,-0.870768363
11,0,Apple Braeburn,-57.66721391,-70.60670384,-71.69421198
12,0,Apple Braeburn,-49.43041796,54.28499099,1.288673512
13,0,Apple Braeburn,-48.33726104,47.71061866,9.146204711
14,0,Apple Braeburn,-55.5700492,46.00258725,5.066608787
15,0,Apple Braeburn,-61.00241877,42.93033551,6.63967183
16,0,Apple Braeburn,-67.10540715,48.55581941,-3.248748369
17,0,Apple Braeburn,-71.20365892,36.96460104,-24.59949311
18,0,Apple Braeburn,-77.66043434,35.47549413,-22.05402971
19,0,Apple Braeburn,-82.24587865,33.13977937,-22.8451044
20,0,Apple Braeburn,-87.45155419,32.88121958,-25.19673924
21,0,Apple Braeburn,-90.16205109,27.60467601,-27.80670479
22,0,Apple Braeburn,-59.78693106,-61.35141175,-103.7933882
23,0,Apple Braeburn,-93.57539457,31.40680789,-37.1829113
24,0,Apple Braeburn,-91.77254727,43.09811564,-37.68710612
25,0,Apple Braeburn,-93.86126944,46.95047113,-37.02246201
26,0,Apple Braeburn,-96.2502845,38.10036281,-37.34905609
27,0,Apple Braeburn,-76.71332233,41.89653012,-55.87360475
28,0,Apple Braeburn,-75.17532006,38.65665616,-59.21363615
29,0,Apple Braeburn,-81.16658445,46.70133743,-54.08984367
30,0,Apple Braeburn,-80.36982822,33.5089466,-58.92578721
31,0,Apple Braeburn,-87.79488996,36.31738353,-55.12224364
32,0,Apple Braeburn,-83.50960562,39.83320223,-57.22965682
33,0,Apple Braeburn,-64.99610251,-62.83092182,-99.924588
34,0,Apple Braeburn,-84.97550693,48.94339525,-51.58716171
35,0,Apple Braeburn,-103.9573205,26.42155365,-68.1030291
36,0,Apple Braeburn,-110.747977,32.56505907,-65.10238401
37,0,Apple Braeburn,-104.7935525,28.80857294,-60.20295525
38,0,Apple Braeburn,-106.3703809,32.6036479,-66.06376997
39,0,Apple Braeburn,-102.3673896,30.12312824,-70.96809271
40,0,Apple Braeburn,-102.9946709,35.75579757,-72.55380427
41,0,Apple Braeburn,-97.69920851,33.81969956,-77.32761904
42,0,Apple Braeburn,-100.1378465,42.79256385,-68.79300557
43,0,Apple Braeburn,-95.24751445,39.71638221,-76.66670933
44,0,Apple Braeburn,-68.43047466,-70.57870031,-86.66221632
45,0,Apple Braeburn,-99.04338102,44.77926151,-76.54294647
46,0,Apple Braeburn,-95.84345312,50.3359554,-72.95070377
47,0,Apple Braeburn,-93.0821335,46.80954401,-82.2151714
48,0,Apple Braeburn,-88.45979082,67.38205092,-58.06378001
49,0,Apple Braeburn,-94.39843908,54.14754696,-84.8430489
50,0,Apple Braeburn,-90.36136271,52.50170841,-88.95209847
51,0,Apple Braeburn,-72.88567428,59.19006299,-88.27012758
52,0,Apple Braeburn,-72.23779688,59.20649435,-95.63835137
53,0,Apple Braeburn,-72.71146058,68.04479811,-89.87143311
54,0,Apple Braeburn,-69.05189694,75.41419998,-86.18045969
55,0,Apple Braeburn,-71.87117639,-66.75053544,-91.16426985
56,0,Apple Braeburn,-71.06916844,72.00532203,-96.5051101
57,0,Apple Braeburn,-70.93632759,76.04499938,-102.5312666
58,0,Apple Braeburn,-63.50758567,88.08303723,-83.97092911
59,0,Apple Braeburn,-60.86736081,86.12824468,-91.92799925
60,0,Apple Braeburn,-60.84524199,93.89961768,-90.86914332
61,0,Apple Braeburn,-48.75713785,98.51438337,-81.82659577
62,0,Apple Braeburn,-54.98323974,101.2353347,-93.30122351
63,0,Apple Braeburn,-51.97112468,111.0345946,-91.23713836
64,0,Apple Braeburn,-47.39634987,118.0992745,-89.96080563
65,0,Apple Braeburn,-46.37436504,94.20890373,-115.7355312
66,0,Apple Braeburn,-69.87483924,-60.80895112,-89.24460554
67,0,Apple Braeburn,-44.48864476,99.8660626,-116.1359189
68,0,Apple Braeburn,-38.33213087,107.0553458,-111.8373287
69,0,Apple Braeburn,-34.45726256,107.4653799,-116.3276109
70,0,Apple Braeburn,-30.50829424,117.1126959,-112.1383507
71,0,Apple Braeburn,-26.2830473,118.5965875,-112.8742648
72,0,Apple Braeburn,-11.65094755,122.9856278,-113.8285914
73,0,Apple Braeburn,-16.50698843,131.8599461,-104.0600813
74,0,Apple Braeburn,0.386002622,137.3422156,-100.346363
75,0,Apple Braeburn,1.772426773,131.1564313,-106.9347792
76,0,Apple Braeburn,7.828196204,135.3984745,-108.0764064
77,0,Apple Braeburn,-75.55498339,-62.38225487,-86.86581964
78,0,Apple Braeburn,14.11900668,141.4832186,-102.6336648
79,0,Apple Braeburn,18.46335077,138.8398282,-107.6232722
80,0,Apple Braeburn,9.631346257,119.8892477,-137.8236206
81,0,Apple Braeburn,15.8955199,120.0326655,-137.3867592
82,0,Apple Braeburn,21.71803738,124.0096596,-135.1989768
83,0,Apple Braeburn,39.64247507,145.5057765,-91.77184266
84,0,Apple Braeburn,45.08085098,144.0913493,-84.35817726
85,0,Apple Braeburn,49.17110973,139.7554479,-92.04795485
86,0,Apple Braeburn,54.91837652,137.6870404,-83.41543173
87,0,Apple Braeburn,63.80366512,140.295697,-77.96396324
88,0,Apple Braeburn,-74.38153869,-56.29039843,-89.37944538
