num,Number,Fruit,x,y,z
0,0,Apple Braeburn,-35.822083,12.018066,33.17407
1,0,Apple Braeburn,50.87842,1.6792909,-25.705141
2,0,Apple Braeburn,58.620354,-4.8801494,-20.40601
3,0,Apple Braeburn,54.77303,-7.119779,-7.8677874
4,0,Apple Braeburn,48.823772,1.7959565,-10.976062
5,0,Apple Braeburn,45.9977,-9.17918,-16.169735
6,0,Apple Braeburn,38.793354,-0.930363,-18.30347
7,0,Apple Braeburn,48.135284,-13.622318,-30.711529
8,0,Apple Braeburn,36.10455,-9.203286,-33.25914
9,0,Apple Braeburn,37.933895,-22.123138,-34.029003
10,0,Apple Braeburn,26.719042,-18.595718,-29.621103
11,0,Apple Braeburn,-14.414182,23.131124,-1.3749034
12,0,Apple Braeburn,28.21144,-9.665774,-21.971958
13,0,Apple Braeburn,37.26274,-18.578674,-21.65941
14,0,Apple Braeburn,35.659668,-18.210316,-9.689185
15,0,Apple Braeburn,31.701878,-28.202003,-16.08166
16,0,Apple Braeburn,23.468458,-19.514853,-14.2518
17,0,Apple Braeburn,28.09422,0.89648867,-6.8978767
18,0,Apple Braeburn,19.030615,-5.265916,-6.2625036
19,0,Apple Braeburn,28.600834,-8.40472,1.8529234
20,0,Apple Braeburn,19.595505,-14.580275,2.2151327
21,0,Apple Braeburn,15.403957,-3.86493,6.1443825
22,0,Apple Braeburn,-21.020123,8.964231,2.1211572
23,0,Apple Braeburn,9.041246,2.4746785,31.2988
24,0,Apple Braeburn,5.668617,-2.5498376,21.461025
25,0,Apple Braeburn,-1.6299478,-3.4979517,25.112608
26,0,Apple Braeburn,-5.8937097,-2.6768336,30.584476
27,0,Apple Braeburn,37.69923,2.0997558,8.504924
28,0,Apple Braeburn,38.066307,3.190553,19.582949
29,0,Apple Braeburn,-69.971504,-10.389275,48.47553
30,0,Apple Braeburn,26.063032,2.3725486,16.823637
31,0,Apple Braeburn,24.576084,9.21025,7.443825
32,0,Apple Braeburn,33.643555,14.492156,2.4268677
33,0,Apple Braeburn,-27.017458,17.940672,-3.0636022
34,0,Apple Braeburn,34.342716,15.526115,14.2965975
35,0,Apple Braeburn,14.401296,21.433784,5.941861
36,0,Apple Braeburn,4.7214746,14.9266405,8.82861
37,0,Apple Braeburn,12.782035,14.176381,17.681513
38,0,Apple Braeburn,2.490002,18.375574,21.776304
39,0,Apple Braeburn,8.037268,27.738926,17.680132
40,0,Apple Braeburn,20.430346,25.456749,19.186941
41,0,Apple Braeburn,11.6250725,22.342468,31.270302
42,0,Apple Braeburn,22.149584,16.978508,28.398039
43,0,Apple Braeburn,17.406889,32.974678,29.311172
44,0,Apple Braeburn,-28.358763,8.280129,-9.692973
45,0,Apple Braeburn,25.2836,36.39178,37.465214
46,0,Apple Braeburn,30.053892,28.131018,28.976175
47,0,Apple Braeburn,23.179714,24.246614,39.400974
48,0,Apple Braeburn,24.018238,5.3307652,40.510178
49,0,Apple Braeburn,34.844597,17.278042,36.126648
50,0,Apple Braeburn,36.57058,26.628891,41.547283
51,0,Apple Braeburn,17.37791,10.955811,50.685703
52,0,Apple Braeburn,18.692747,13.717106,62.115784
53,0,Apple Braeburn,27.37034,17.621326,55.06466
54,0,Apple Braeburn,27.289223,4.6798224,56.503086
55,0,Apple Braeburn,-24.266375,23.797054,-13.62831
56,0,Apple Braeburn,30.27669,18.09601,67.3415
57,0,Apple Braeburn,30.514519,6.18616,69.57923
58,0,Apple Braeburn,38.614914,11.021772,58.114662
59,0,Apple Braeburn,39.406536,-0.6489083,60.113106
60,0,Apple Braeburn,43.72326,2.5583117,71.366776
61,0,Apple Braeburn,45.632973,14.500923,69.838524
62,0,Apple Braeburn,52.35284,15.479997,60.13575
63,0,Apple Braeburn,52.76984,3.921496,60.23574
64,0,Apple Braeburn,58.92775,8.37091,69.66002
65,0,Apple Braeburn,58.105488,10.9015875,44.34607
66,0,Apple Braeburn,-43.72522,-3.3853621,-63.08088
67,0,Apple Braeburn,68.7717,13.58712,48.290554
68,0,Apple Braeburn,44.960323,79.54826,34.122704
69,0,Apple Braeburn,67.71417,1.3126267,52.194687
70,0,Apple Braeburn,59.591366,-2.3556478,43.430134
71,0,Apple Braeburn,69.81471,-8.200642,44.43638
72,0,Apple Braeburn,85.28264,2.7724195,45.951347
73,0,Apple Braeburn,70.19371,3.3168705,37.518288
74,0,Apple Braeburn,86.04227,-8.786939,41.04139
75,0,Apple Braeburn,14.455781,-30.001802,-60.411972
76,0,Apple Braeburn,95.95366,-0.34362867,37.293518
77,0,Apple Braeburn,-13.73115,10.039994,-10.092541
78,0,Apple Braeburn,91.00209,-8.084388,28.713266
79,0,Apple Braeburn,85.55035,3.0125227,30.887266
80,0,Apple Braeburn,70.95519,0.06506857,22.798195
81,0,Apple Braeburn,75.26743,-10.5898,26.198124
82,0,Apple Braeburn,72.97348,-9.272377,15.217019
83,0,Apple Braeburn,85.22331,0.43635067,15.595029
84,0,Apple Braeburn,96.65765,-1.5744103,11.794272
85,0,Apple Braeburn,87.89087,-9.270562,7.5775595
86,0,Apple Braeburn,62.153378,37.186657,-51.014088
87,0,Apple Braeburn,86.565475,2.651994,-0.16367663
88,0,Apple Braeburn,-21.190935,12.619698,-19.767939
89,0,Apple Braeburn,-88.71518,33.804825,-70.852264
90,0,Apple Braeburn,74.62363,4.8071766,3.9623787
91,0,Apple Braeburn,97.72616,15.578872,6.1949935
92,0,Apple Braeburn,94.485016,19.677414,17.48743
93,0,Apple Braeburn,85.35036,15.521969,10.900957
94,0,Apple Braeburn,87.5265,21.988224,0.85131216
95,0,Apple Braeburn,91.30377,29.748777,8.954407
