num,Number,Fruit,x,y,z
0,0,Apple Braeburn,30.89080293,-49.65609013,-80.26809675
1,0,Apple Braeburn,-54.00859897,27.39416027,-34.87394346
2,0,Apple Braeburn,-54.32621682,26.32645148,-35.67288385
3,0,Apple Braeburn,-56.43001594,26.97151927,-36.43472677
4,0,Apple Braeburn,-56.97112063,26.14432027,-36.16175464
5,0,Apple Braeburn,-59.38247929,25.36279693,-37.06727758
6,0,Apple Braeburn,-59.62597188,24.67727314,-36.18446342
7,0,Apple Braeburn,-59.57524135,24.56080421,-24.85572823
8,0,Apple Braeburn,-58.95055829,24.27087394,-25.05847993
9,0,Apple Braeburn,-61.66898648,23.30701799,-25.67559726
10,0,Apple Braeburn,-61.5527372,23.66084806,-25.81670309
11,0,Apple Braeburn,-1.675129168,-43.98771821,-83.04660628
12,0,Apple Braeburn,-63.22733138,23.58633472,-26.36279461
13,0,Apple Braeburn,-63.30419381,22.4695358,-25.97450412
14,0,Apple Braeburn,-64.73264818,21.69647245,-26.35446265
15,0,Apple Braeburn,-65.09762195,20.06879138,-26.89604027
16,0,Apple Braeburn,-66.262837,20.05442039,-28.09068314
17,0,Apple Braeburn,-65.89519417,21.74319117,-39.07842416
18,0,Apple Braeburn,-67.56281009,20.65068907,-39.331593
19,0,Apple Braeburn,-67.40871258,19.74176759,-38.9408892
20,0,Apple Braeburn,-68.29176446,18.88394278,-39.99577726
21,0,Apple Braeburn,-67.65310993,18.31522999,-40.16797746
22,0,Apple Braeburn,1.254300965,-43.51053911,-84.38421128
23,0,Apple Braeburn,-70.73992589,19.9334943,-43.47413833
24,0,Apple Braeburn,-70.25612677,21.40722882,-42.67152419
25,0,Apple Braeburn,-71.55211981,21.38413313,-42.48396082
26,0,Apple Braeburn,-71.55272776,19.95735744,-42.55354861
27,0,Apple Braeburn,-67.1245322,25.6435028,-49.66513667
28,0,Apple Braeburn,-66.38268797,25.56000411,-49.65018439
29,0,Apple Braeburn,-68.15495371,25.73633001,-49.78123519
